	Match	HOdds	DOdds	VOdds
256	Dijon - Troyes 3:1	1.83	3.52	4.62
257	Strasbourg - Rennes 2:1	2.18	3.20	3.69
258	Paris SG - Nantes 4:1	1.12	9.78	21.06
259	Amiens - Monaco 1:1	5.80	3.98	1.61
260	St Etienne - Lyon 0:5	3.55	3.44	2.12
261	Metz - Lille 0:3	3.08	3.24	2.43
262	Monaco - Guingamp 6:0	1.43	4.76	7.33
263	Nantes - Toulouse 2:1	1.99	3.10	4.57
264	Angers - Paris SG 0:5	10.64	6.15	1.27
265	Rennes - Bordeaux 1:0	3.27	3.18	2.35
266	Lille - Marseille 0:1	3.26	3.46	2.22
267	Lyon - Metz 2:0	1.18	8.01	14.74
268	Caen - Troyes 1:0	1.71	3.59	5.55
269	Guingamp - Amiens 1:1	1.87	3.31	4.77
270	Strasbourg - Angers 2:2	2.90	3.24	2.56
271	Paris SG - Nice 3:0	1.15	8.70	16.91
272	Marseille - Paris SG 2:2	8.21	5.59	1.35
273	Nice - Strasbourg 1:2	1.72	3.73	5.12
274	Amiens - Bordeaux 1:0	5.84	3.76	1.65
275	Metz - Dijon 1:2	2.67	3.24	2.75
276	Rennes - Lille 1:0	2.18	3.21	3.63
277	St Etienne - Montpellier 0:1	2.15	3.13	3.84
278	Strasbourg - Marseille 3:3	4.10	3.57	1.92
279	Bordeaux - Nantes 1:1	1.67	3.68	5.76
280	Caen - Angers 0:2	2.44	3.10	3.20
281	Troyes - Angers 3:0	3.31	3.25	2.29
282	Lyon - Montpellier 0:0	1.53	4.18	6.51
283	Guingamp - Angers 1:1	2.27	3.30	3.29
284	Toulouse - Metz 0:0	1.81	3.45	4.94
285	Lille - St Etienne 3:1	2.20	3.20	3.59
286	Marseille - Caen 5:0	1.55	4.04	6.52
287	Nice - Dijon 1:0	1.93	3.48	4.17
288	Montpellier - Amiens 1:1	1.70	3.44	6.01
289	Troyes - Strasbourg 3:0	2.80	3.29	2.60
290	Toulouse - St Etienne 0:0	2.36	3.10	3.33
291	Dijon - Nantes 1:0	2.68	3.11	2.83
292	Montpellier - Rennes 0:1	2.01	3.15	4.34
293	Bordeaux - Monaco 0:2	2.56	3.42	2.76
294	Troyes - Lyon 0:5	6.11	4.23	1.55
295	Angers - Toulouse 0:1	2.01	3.29	4.07
296	Nantes - Guingamp 2:1	2.21	3.14	3.63
297	Monaco - Caen 2:0	1.38	4.91	8.23
298	Montpellier - Nice 2:0	2.68	3.15	2.83
299	Guingamp - Rennes 2:0	2.11	3.36	3.62
300	Lille - Troyes 2:2	1.66	3.75	5.54
301	Toulouse - Amiens 1:0	1.84	3.28	5.07
302	Lyon - Monaco 3:2	2.00	3.99	3.46
303	Nice - Marseille 2:4	2.43	3.42	2.94
304	Troyes - St Etienne 2:1	3.74	3.22	2.13
305	Dijon - Strasbourg 1:1	2.16	3.36	3.51
306	Nantes - Metz 1:0	1.61	3.75	6.29
307	Paris SG - Bordeaux 6:2	1.15	8.46	17.21
308	Monaco - Montpellier 1:1	1.34	5.17	9.52
309	Marseille - Toulouse 2:0	1.55	4.08	6.41
310	St Etienne - Rennes 2:2	2.27	3.17	3.44
311	Bordeaux - Guingamp 3:1	1.67	3.79	5.36
312	Lyon - Dijon 3:3	1.34	5.39	8.74
