	Match	HOdds	DOdds	VOdds
309	Leganes - Atl. Madrid 0:0	6.03	3.52	1.70
310	Sevilla - Malaga 2:0	1.42	4.76	7.99
311	Celta Vigo - Girona 3:3	1.73	3.73	5.18
312	Betis - Levante 4:0	1.84	3.62	4.54
313	Real Sociedad - Valencia 2:3	2.42	3.62	2.87
314	Las Palmas - Leganes 0:2	2.36	3.17	3.33
315	Espanyol - Dep. La Coruna 4:1	1.96	3.52	4.06
316	Girona - Barcelona 0:3	13.09	6.57	1.23
317	Alaves - Real Madrid 1:2	16.66	7.98	1.17
318	Levante - Real Sociedad 3:0	2.90	3.39	2.50
319	Villarreal - Espanyol 0:0	1.67	3.83	5.52
320	Real Madrid - Betis 0:1	1.09	12.45	26.36
321	Dep. La Coruna - Alaves 1:0	1.77	3.71	4.89
322	Leganes - Girona 0:0	2.05	3.23	4.12
323	Barcelona - Eibar 6:1	1.12	9.68	21.28
324	Espanyol - Celta Vigo 2:1	2.59	3.33	2.87
325	Real Sociedad - Real Madrid 1:3	5.02	4.56	1.62
326	Girona - Sevilla 0:1	3.05	3.41	2.39
327	Atl. Madrid - Malaga 1:0	1.22	6.38	15.70
328	Getafe - Barcelona 1:2	11.56	6.46	1.25
329	Eibar - Leganes 1:0	2.08	3.28	3.97
330	Malaga - Leganes 0:2	2.42	3.14	3.25
331	Eibar - Dep. La Coruna 0:0	1.93	3.58	4.16
332	Alaves - Real Sociedad 0:2	3.45	3.41	2.19
333	Ath Bilbao - Sevilla 1:0	2.51	3.33	2.94
334	Valencia - Ath Bilbao 3:2	1.79	3.70	4.73
335	Barcelona - Las Palmas  3:0	1.08	12.31	27.05
336	Levante - Alaves 0:2	1.84	3.49	4.73
337	Dep. La Coruna - Getafe 2:1	2.30	3.36	3.24
338	Eibar - Celta Vigo 0:4	2.24	3.37	3.37
339	Getafe - Villarreal 4:0	2.48	3.18	3.12
340	Malaga - Ath Bilbao 3:3	3.23	3.27	2.36
341	Atl. Madrid - Sevilla 2:0	1.61	3.92	6.12
342	Celta Vigo - Getafe 1:1	1.79	3.67	4.79
343	Sevilla - Las Palmas 1:0	1.38	5.03	8.40
344	Ath Bilbao - Atl. Madrid 1:2	3.87	3.32	2.09
345	Valencia - Malaga 5:0	1.47	4.52	7.21
346	Las Palmas - Ath Bilbao 1:0	2.68	3.36	2.71
347	Alaves - Villarreal 0:3	2.96	3.21	2.57
348	Betis - Dep. La Coruna 2:1	1.83	3.69	4.48
349	Levante - Valencia 1:1	3.26	3.30	2.31
350	Malaga - Las Palmas 1:3	1.98	3.55	3.93
351	Villarreal - Betis 3:1	1.93	3.54	4.22
352	Ath Bilbao - Girona 2:0	1.63	3.89	5.99
353	Barcelona - Espanyol 5:0	1.15	9.09	19.42
354	Valencia - Atl. Madrid 0:0	3.21	3.23	2.41
355	Leganes - Getafe 1:2	2.09	3.22	4.01
356	Real Madrid - Valencia 2:2	1.17	8.90	15.27
357	Eibar - Ath Bilbao 0:1	2.53	3.25	3.00
358	Las Palmas - Atl. Madrid 1:5	5.41	3.76	1.70
359	Levante - Dep. La Coruna 2:2	2.19	3.33	3.55
360	Betis - Celta Vigo 2:1	2.32	3.39	3.22
361	Malaga - Eibar 0:1	2.17	3.30	3.63
362	Dep. La Coruna - Real Madrid 0:3	11.61	6.53	1.25
363	Ath Bilbao - Getafe 0:0	1.52	4.29	6.70
364	Sevilla - Espanyol 1:1	1.61	4.06	5.84
365	Celta Vigo - Real Sociedad 2:3	2.08	3.46	3.70
366	Valencia - Las Palmas 1:0	1.76	3.97	4.58
367	Celta Vigo - Alaves 1:0	1.66	3.85	5.65
368	Dep. La Coruna - Real Sociedad 2:4	3.02	3.42	2.41
369	Sevilla - Eibar 3:0	1.57	4.21	6.18
370	Real Madrid - Levante 1:1	1.10	11.69	25.40
371	Getafe - Sevilla 0:1	3.49	3.48	2.15
372	Espanyol - Leganes 0:1	2.02	3.23	4.25
373	Girona - Malaga 1:0	2.01	3.33	4.15
374	Alaves - Barcelona 0:2	10.09	5.55	1.32
375	Real Sociedad - Villarreal 3:0	2.04	3.48	3.85
376	Levante - Villarreal 1:0	3.33	3.22	2.34
377	Barcelona - Betis 2:0	1.20	7.56	14.41
378	Girona - Atl. Madrid 2:2	6.63	3.90	1.58
379	Leganes - Alaves 1:0	2.02	3.24	4.31
