	Match	HOdds	DOdds	VOdds
89	Crystal Palace - Liverpool 1:2	6.77	4.64	1.49
90	Bournemouth - West Brom 2:1	1.81	3.72	4.74
91	Stoke - Everton 1:2	2.75	3.20	2.82
92	Arsenal - Watford 3:0	1.51	4.49	6.90
93	Everton - Brighton 2:0	2.26	3.23	3.57
94	Newcastle - Southampton 3:0	2.70	3.15	2.92
95	West Ham - Burnley 0:3	2.22	3.20	3.74
96	Brighton - Arsenal 2:1	4.17	3.64	1.93
97	Leicester - Bournemouth 1:1	1.90	3.63	4.34
98	Swansea - West Ham 4:1	2.59	3.08	3.11
99	Watford - West Brom 1:0	2.31	3.23	3.47
100	Arsenal - Manchester City 0:3	4.64	4.24	1.73
101	Manchester Utd - Chelsea 2:1	2.39	3.22	3.31
102	Watford - Everton 1:0	2.40	3.24	3.27
103	Brighton - Swansea 4:1	2.06	3.21	4.27
104	Liverpool - West Ham 4:1	1.23	6.91	13.22
105	Leicester - Stoke 1:1	1.71	3.86	5.37
106	Chelsea - West Brom 3:0	1.35	5.15	10.70
107	Southampton - Liverpool 0:2	5.04	3.91	1.74
108	Huddersfield - Bournemouth 4:1	3.11	3.33	2.44
109	Manchester City - Leicester 5:1	1.24	6.57	13.56
110	Stoke - Brighton 1:1	2.35	3.22	3.38
111	West Ham - Watford 2:0	2.41	3.30	3.18
112	Watford - Chelsea 4:1	6.53	4.35	1.54
113	Liverpool - Tottenham 2:2	2.04	3.72	3.69
114	Arsenal - Everton 5:1	1.35	5.40	9.44
115	Brighton - West Ham 3:1	2.30	3.06	3.70
116	Manchester Utd - Huddersfield 2:0	1.22	6.78	16.25
117	Burnley - Manchester City 1:1	12.00	5.66	1.30
118	Manchester City - West Brom 3:0	1.15	8.92	20.20
119	Tottenham - Manchester Utd  2:0	2.41	3.37	3.13
120	Everton - Leicester 2:1	2.74	3.16	2.85
121	Southampton - Brighton 1:1	1.80	3.47	5.31
122	Huddersfield - Liverpool 0:3	10.26	5.42	1.34
123	West Ham - Crystal Palace 1:1	2.99	3.23	2.57
124	Swansea - Liverpool 1:0	10.78	5.80	1.31
125	Southampton - Tottenham 1:1	4.62	3.75	1.82
126	Manchester City - Newcastle 3:1	1.13	9.90	23.95
127	Burnley - Manchester Utd 0:1	7.13	3.97	1.56
128	Leicester - Watford 2:0	1.79	3.84	4.75
129	West Ham - Bournemouth 1:1	2.27	3.37	3.40
130	Crystal Palace - Tottenham 0:1	8.93	5.29	1.37
131	Bournemouth - Newcastle 2:2	2.02	3.52	3.94
132	Burnley - Southampton 1:1	3.22	3.08	2.54
133	West Brom - Huddersfield 1:2	1.90	3.41	4.74
134	Newcastle - Manchester Utd 1:0	6.21	4.08	1.60
135	Everton - Crystal Palace 3:1	2.15	3.26	3.88
136	Swansea - Burnley 1:0	2.39	3.03	3.54
137	Tottenham - Arsenal  1:0	1.96	3.81	3.88
138	Crystal Palace - Newcastle 1:1	2.08	3.32	4.01
139	Bournemouth - Stoke 2:1	1.92	3.60	4.29
140	Leicester - Swansea 1:1	1.86	3.47	4.88
141	West Brom - Southampton 2:3	2.82	3.12	2.82
142	Stoke - Watford 0:0	2.17	3.44	3.54
143	Chelsea - Bournemouth 0:3	1.36	5.21	9.85
144	Newcastle - Burnley 1:1	2.23	3.14	3.76
145	Swansea - Arsenal 3:1	6.78	4.28	1.53
146	Arsenal - Crystal Palace 4:1	1.47	4.66	7.21
147	Everton - West Brom 1:1	2.46	2.98	3.44
148	Stoke - Huddersfield 2:0	2.05	3.38	4.04
149	Brighton - Chelsea 0:4	6.51	3.76	1.64
150	Manchester Utd - Stoke 3:0	1.21	7.06	14.96
151	Liverpool - Manchester City 4:3	3.12	3.65	2.32
152	Tottenham - Everton  4:0	1.29	5.87	12.03
153	Crystal Palace - Burnley 1:0	2.18	3.19	3.85
154	Newcastle - Swansea 1:1	1.77	3.63	5.32
155	West Brom - Brighton 2:0	2.15	3.10	4.10
156	Tottenham - West Ham  1:1	1.30	5.90	10.93
157	Arsenal - Chelsea 2:2	3.20	3.39	2.36
158	Manchester City - Watford 3:1	1.14	10.07	20.12
159	Swansea - Tottenham 0:2	8.16	4.45	1.46
160	Everton - Manchester Utd 0:2	5.54	3.76	1.72
161	Leicester - Huddersfield 3:0	1.80	3.54	5.13
162	Brighton - Bournemouth 2:2	2.44	3.06	3.37
163	West Brom - Arsenal 1:1	5.56	4.14	1.65
164	Manchester Utd - Southampton 0:0	1.36	5.19	9.52
165	Chelsea - Stoke 5:0	1.16	8.94	19.43
166	Liverpool - Leicester 2:1	1.29	6.58	9.89
167	Watford - Swansea 1:2	1.82	3.55	5.03
168	Crystal Palace - Arsenal 2:3	4.58	4.17	1.75
169	Newcastle - Manchester City 0:1	11.77	6.80	1.25
170	Liverpool - Swansea 5:0	1.15	9.08	18.83
171	Chelsea - Brighton 2:0	1.18	7.60	19.28
172	Manchester Utd - Burnley 2:2	1.26	6.07	13.13
173	West Brom - Everton 0:0	2.32	3.13	3.58
174	Leicester - Manchester Utd 2:2	4.14	3.65	1.94
175	Brighton - Watford 1:0	2.68	3.17	2.91
176	Southampton - Huddersfield 1:1	1.66	3.82	5.96
177	Swansea - Crystal Palace 1:1	3.27	3.23	2.40
178	Everton - Chelsea 0:0	6.43	4.04	1.59
179	Arsenal - Liverpool 3:3	2.61	3.64	2.69
180	Bournemouth - Arsenal 2:1	3.81	3.64	2.03
181	Chelsea - Leicester 0:0	1.31	5.60	11.41
182	Huddersfield - West Ham 1:4	2.84	3.11	2.79
183	Watford - Southampton 2:2	2.67	3.31	2.83
184	Southampton - Crystal Palace 1:2	2.09	3.37	3.91
185	West Ham - West Brom 2:1	2.15	3.18	3.97
186	Burnley - Liverpool 1:2	6.00	3.84	1.65
187	Stoke - Newcastle 0:1	2.30	3.27	3.43
188	Crystal Palace - Manchester City 0:0	10.15	5.81	1.32
189	Bournemouth - Everton 2:1	2.41	3.19	3.31
190	Huddersfield - Burnley 0:0	2.42	3.00	3.49
191	Newcastle - Brighton 0:0	2.13	3.24	3.95
192	Bournemouth - West Ham 3:3	2.56	3.22	3.01
193	Huddersfield - Stoke 1:1	2.37	3.19	3.38
194	Watford - Leicester 2:1	2.66	3.41	2.75
195	Tottenham - Southampton  5:2	1.34	5.47	9.39
196	Burnley - Tottenham 0:3	6.52	4.17	1.57
197	Manchester City - Bournemouth 4:0	1.10	12.50	25.72
198	Stoke - West Brom 3:1	2.36	3.17	3.41
199	West Ham - Newcastle 2:3	1.96	3.43	4.31
200	Everton - Swansea 3:1	1.78	3.54	5.43
201	Bournemouth - Liverpool 0:4	6.88	4.94	1.46
202	Manchester City - Tottenham 4:1	1.61	4.39	5.53
203	Arsenal - Newcastle 1:0	1.25	6.54	12.30
204	Chelsea - Southampton 1:0	1.41	4.85	8.59
205	Leicester - Crystal Palace 0:3	1.78	3.76	4.91
206	Liverpool - West Brom 0:0	1.20	7.41	15.00
207	Tottenham - Brighton  2:0	1.22	6.99	14.84
